customer_id,gender,age,country,city,signup_date,last_purchase_date,acquisition_channel,device_type,subscription_type,is_premium_user,total_visits,avg_session_time,pages_per_session,email_open_rate,email_click_rate,total_spent,avg_order_value,discount_used,coupon_code,support_tickets,refund_requested,delivery_delay_days,payment_method,satisfaction_score,nps_score,marketing_spend_per_user,lifetime_value,last_3_month_purchase_freq,churn
10001,Male,52,India,Berlin,10-05-2022,31-12-2024,Email,Tablet,Annual,1,7,13.90374474,5.41516421,0.67,0.26,559.5249583,65.24670365,0,NEW20,0,0,3,UPI,3,10,27.56,915.3108266,14,0
10002,Unknown,35,Germany,Mumbai,16-06-2024,07-05-2024,Organic,Desktop,Monthly,0,19,5.112528235,5.35244119,0.7,0.37,356.4913444,48.47388664,1,NEW20,5,0,3,BKash,3,7,15.15,2079.960938,11,0
10003,Female,27,Germany,London,23-08-2023,28-04-2024,Email,Mobile,Annual,1,18,9.742749425,3.594718838,0.47,0.44,689.3321957,77.81537107,0,No Coupon,1,0,2,UPI,5,6,13.51,1379.150885,9,0
10004,Female,36,India,Mumbai,28-01-2024,20-05-2023,Facebook Ads,Tablet,Annual,1,16,9.642654171,2.949530696,0.58,0.37,445.4296361,71.71219155,0,No Coupon,0,0,2,PayPal,4,6,25.65,774.6526836,7,0
10005,Male,29,USA,Hamburg,21-07-2023,07-04-2024,Referral,Mobile,Monthly,0,12,7.791290803,2.405539176,0.05,0.16,686.2860225,44.99024608,1,No Coupon,2,1,4,BKash,3,1,12.39,87.68040895,11,0
10006,Male,29,Germany,Mumbai,08-05-2024,20-01-2023,Google Ads,Mobile,Monthly,0,13,13.266709,2.883520108,0.12,0.33,423.2435506,95.63420841,0,NEW20,2,0,2,SEPA,3,10,16.3,467.4524135,14,0
10007,Male,39,UK,New York,04-01-2022,05-12-2023,Email,Mobile,Monthly,0,15,7.631444295,2.235898782,0.57,0.45,519.5103371,55.93929812,1,SALE15,0,0,3,Card,5,10,29.76,1697.386983,1,0
10008,Female,35,Germany,Berlin,11-05-2023,14-02-2024,Facebook Ads,Desktop,Annual,0,15,9.994333103,5.892048353,0.96,0.46,685.2671893,82.14917282,1,REF10,2,0,0,SEPA,3,5,18.86,1337.967629,6,0
10009,Female,21,USA,London,14-01-2023,19-08-2024,Organic,Desktop,Monthly,1,10,11.40799797,4.59277141,0.99,0.22,78.62464712,72.9494756,0,NEW20,3,0,5,Card,4,7,27.14,648.0121505,2,1
10010,Female,35,Germany,Hamburg,22-12-2022,04-09-2024,Email,Tablet,Monthly,0,14,7.434828882,2.682818849,0.03,0.46,43.29790893,64.6922851,0,NEW20,0,0,3,SEPA,3,7,5.22,1360.483364,9,1
10011,Male,35,Germany,Delhi,13-04-2023,09-03-2024,Facebook Ads,Desktop,Annual,0,13,4.721719395,4.173546887,0.05,0.36,247.0844641,57.14699905,1,REF10,0,0,1,BKash,4,1,15.99,374.6792147,11,0
10012,Unknown,38,Bangladesh,New York,31-01-2023,21-07-2023,Organic,Mobile,Annual,0,10,3.150685593,3.847557071,0.92,0.23,498.8438591,63.8011932,0,No Coupon,7,0,1,PayPal,2,1,8.04,239.3145219,12,1
10013,Female,54,Germany,Hamburg,14-03-2023,25-01-2023,Organic,Tablet,Monthly,1,14,9.340827003,5.030937816,0.73,0.15,575.8178162,33.1505209,1,REF10,2,0,3,UPI,4,10,8.87,572.9884403,2,0
10014,Male,36,India,Mumbai,14-09-2024,31-01-2023,Google Ads,Tablet,Monthly,1,11,8.072879413,5.326526787,0.07,0.45,173.4089477,87.02983122,1,REF10,3,0,2,Card,5,4,6.44,2067.644938,0,1
10015,Male,41,India,New York,07-04-2024,12-04-2024,Referral,Mobile,Monthly,0,15,6.830661867,5.925311878,0.05,0.44,911.2369166,90.43345252,0,No Coupon,2,1,3,Card,1,3,21.48,1131.468606,3,1
10016,Male,25,UK,Dhaka,25-06-2023,26-07-2023,Google Ads,Desktop,Annual,0,13,8.251259444,2.39334112,0.11,0.13,299.5646535,89.66938289,1,No Coupon,0,0,5,SEPA,5,1,21.68,1873.915677,10,0
10017,Male,43,Germany,Hamburg,02-12-2023,06-02-2024,Organic,Tablet,Annual,0,18,11.16804403,1.898288328,0.48,0.07,617.2708675,73.04350567,0,No Coupon,1,1,1,SEPA,4,1,28.53,364.3604867,7,0
10018,Female,35,UK,Delhi,15-02-2022,17-06-2023,Email,Desktop,Monthly,0,7,10.29729005,5.397976789,0.64,0.3,262.0816441,43.50980174,0,REF10,6,0,5,UPI,5,4,18.92,1001.926072,7,0
10019,Male,36,USA,London,01-09-2023,09-12-2023,Referral,Tablet,Annual,0,15,6.969921695,2.927780654,0.47,0.31,667.7640689,41.07377442,0,No Coupon,1,0,2,SEPA,5,10,20.98,1212.135532,13,0
10020,Male,34,USA,Delhi,18-02-2022,08-03-2023,Organic,Mobile,Annual,0,13,7.605348769,3.43167618,0.27,0.08,178.1215445,34.74257942,1,SALE15,5,0,4,SEPA,1,1,12.33,1838.922452,4,1
10021,Female,45,Bangladesh,Mumbai,30-04-2022,03-12-2024,Referral,Mobile,Annual,0,17,11.24973588,4.148207956,0.22,0.41,666.4381639,2.327606208,1,No Coupon,1,0,1,Card,3,6,28.11,1719.279941,8,0
10022,Male,22,Bangladesh,London,20-10-2023,11-01-2023,Email,Tablet,Annual,1,10,6.086781426,4.508357165,0.34,0.28,396.4588364,47.26484475,0,No Coupon,3,0,1,Card,3,1,26.01,1223.986989,1,0
10023,Male,35,Germany,Hamburg,23-04-2024,15-02-2024,Facebook Ads,Mobile,Annual,1,21,7.490568378,2.960824585,0.16,0.37,738.7001988,99.73780624,0,No Coupon,2,0,4,SEPA,3,2,12.8,1591.872118,4,0
10024,Male,33,Germany,Dhaka,31-01-2024,14-06-2023,Facebook Ads,Mobile,Annual,0,15,10.45595339,5.932716006,0.07,0.49,452.1913855,83.90235235,0,SALE15,2,1,1,UPI,2,2,28.41,928.8514433,6,0
10025,Female,40,UK,Mumbai,15-03-2022,20-05-2023,Organic,Mobile,Monthly,1,15,10.85995267,4.817542265,0.01,0.25,724.8446308,56.06224093,0,REF10,0,0,1,PayPal,3,4,19.34,1885.99386,1,0
10026,Female,37,UK,Mumbai,12-02-2023,25-04-2024,Organic,Desktop,Monthly,1,13,7.690140725,6.350463638,0.07,0.36,169.4630441,86.7084676,1,No Coupon,4,0,1,SEPA,4,6,21.65,655.956486,11,0
10027,Male,47,Germany,Berlin,10-05-2023,16-02-2024,Google Ads,Tablet,Annual,0,18,14.02394088,5.113629382,0.6,0.32,65.90132625,52.42832576,0,No Coupon,1,0,3,SEPA,3,3,28.11,2621.148438,0,0
10028,Female,39,Germany,Delhi,30-09-2022,19-09-2023,Organic,Desktop,Monthly,0,20,8.422387264,5.163397185,0.37,0.19,462.1225352,67.19784944,0,NEW20,2,0,2,SEPA,2,9,12.91,126.368478,2,1
10029,Female,29,Bangladesh,New York,17-04-2022,20-05-2024,Facebook Ads,Mobile,Annual,1,17,4.097876753,5.941110023,0.09,0.24,893.9980587,55.56527893,0,No Coupon,1,0,4,UPI,4,5,12.16,155.9749942,4,0
10030,Male,35,Bangladesh,London,13-05-2024,01-08-2023,Facebook Ads,Mobile,Monthly,1,22,11.32819111,5.514556265,0.51,0.24,316.9166496,70.32726604,0,REF10,3,1,3,BKash,2,4,25.88,1828.847049,6,0
10031,Female,33,Bangladesh,Delhi,03-07-2022,11-12-2023,Google Ads,Tablet,Monthly,0,9,6.410068463,6.391748325,0.56,0.04,469.2302844,77.21656035,1,SALE15,1,0,4,SEPA,3,2,27.56,362.0127405,2,0
10032,Male,45,Germany,London,11-12-2022,12-07-2024,Email,Tablet,Monthly,0,19,10.04874173,0.775027651,0.48,0.25,197.4431393,5.680792575,1,No Coupon,5,0,3,UPI,3,2,22.76,2878.376941,12,0
10033,Male,31,UK,Delhi,30-03-2024,05-02-2023,Referral,Desktop,Annual,0,19,8.586964276,3.143241477,0.16,0.44,706.6432917,66.54000387,1,NEW20,4,0,3,Card,4,8,21.05,2490.250227,3,0
10034,Other,35,India,New York,06-08-2023,16-08-2024,Facebook Ads,Tablet,Annual,0,12,16.13327051,2.391257749,0.89,0.43,611.8383809,38.12628098,1,REF10,5,0,6,UPI,4,4,10.79,1971.058434,8,0
10035,Unknown,39,India,London,16-06-2023,13-02-2023,Referral,Desktop,Monthly,0,15,6.796036905,1.476524606,0.28,0.01,1041.573392,58.91673008,1,No Coupon,1,0,3,Card,4,3,16.33,620.0685504,5,0
10036,Female,25,UK,London,31-10-2023,12-01-2025,Organic,Desktop,Monthly,0,14,7.911278464,5.045505273,0.8,0.3,235.3881413,30.72508808,0,SALE15,0,0,2,Card,1,4,7.95,2642.883275,13,0
10037,Male,41,UK,Berlin,05-12-2022,11-02-2024,Organic,Tablet,Annual,0,18,7.805333227,6.983917907,0.67,0.06,498.8438591,103.3848957,1,NEW20,4,0,3,BKash,4,10,27.29,358.8407478,11,0
10038,Male,51,UK,Dhaka,04-04-2023,28-03-2023,Email,Tablet,Monthly,1,14,7.297740103,3.456318612,0.45,0.44,868.904352,105.6587789,0,NEW20,1,0,2,SEPA,4,7,20.11,596.7356019,9,0
10039,Female,33,Bangladesh,Delhi,13-08-2022,04-02-2023,Referral,Tablet,Monthly,0,12,4.367704057,4.073052569,0.26,0.07,490.7633662,72.55234674,1,REF10,3,0,2,Card,3,0,19.63,822.6670056,2,0
10040,Male,24,USA,New York,21-11-2023,28-03-2024,Facebook Ads,Tablet,Annual,0,11,4.16363829,4.57546407,0.65,0.49,746.2634198,63.03097962,0,No Coupon,1,1,3,PayPal,4,10,27.49,1903.778026,0,0
10041,Male,34,Germany,Hamburg,10-01-2023,13-11-2023,Google Ads,Desktop,Monthly,0,16,6.995963571,3.000593117,0.93,0.47,121.2425004,102.38665,0,No Coupon,0,0,3,BKash,4,3,12.7,1589.31663,0,0
10042,Female,35,Bangladesh,Berlin,22-09-2023,21-12-2024,Facebook Ads,Tablet,Annual,0,14,8.082371975,4.286011801,0.81,0.18,52.32168519,82.71191627,0,NEW20,3,0,6,SEPA,3,3,18.3,1924.290403,5,0
10043,Male,38,India,Berlin,29-06-2024,15-06-2023,Referral,Mobile,Monthly,1,19,6.718470169,6.783608837,0.72,0.06,498.8438591,51.32020969,1,NEW20,1,0,5,SEPA,4,3,18.89,1808.720678,14,0
10044,Other,40,Germany,Dhaka,02-11-2023,29-06-2023,Referral,Mobile,Monthly,1,15,6.81942929,3.081752905,0.28,0.06,304.2872219,74.48966667,1,REF10,0,0,4,Card,4,6,15.2,247.0574803,5,0
10045,Male,35,UK,Hamburg,09-06-2023,28-05-2024,Facebook Ads,Tablet,Annual,0,22,9.961997274,3.158305632,0.72,0.47,680.4244935,32.40227387,1,REF10,3,0,3,UPI,5,3,15.62,1475.552271,10,0
10046,Female,33,India,New York,25-02-2022,22-03-2024,Facebook Ads,Mobile,Annual,0,15,6.637675127,3.225146535,0.79,0.37,563.075018,48.27181668,1,NEW20,2,0,5,BKash,3,10,13.76,1932.790304,6,0
10047,Male,39,UK,Hamburg,28-08-2022,07-12-2024,Email,Desktop,Monthly,0,9,3.650152369,3.439498104,0.07,0.43,1227.659053,68.7875421,1,No Coupon,1,0,2,PayPal,2,7,16.62,685.6977202,10,0
10048,Female,26,UK,Mumbai,02-10-2022,22-04-2024,Organic,Mobile,Monthly,0,16,9.847086339,4.274987014,0.58,0.05,294.4836211,64.35791958,1,SALE15,3,0,2,SEPA,4,10,21.78,27.42367911,0,0
10049,Female,31,UK,Delhi,17-04-2024,19-12-2023,Email,Tablet,Annual,0,10,11.25823643,2.393793449,0.51,0.48,870.0165972,38.94194174,0,No Coupon,4,0,2,SEPA,4,3,19.57,736.3557372,3,0
10050,Male,35,Germany,London,12-07-2024,18-06-2024,Facebook Ads,Mobile,Annual,0,13,9.664195394,4.019059116,0.79,0.29,495.707846,34.66890986,0,SALE15,1,0,5,Card,5,2,14.93,1722.858671,10,0
10051,Unknown,33,India,Dhaka,10-02-2023,26-01-2023,Facebook Ads,Mobile,Monthly,0,16,6.743628486,3.328855795,0.66,0.39,472.2008795,52.40684165,0,SALE15,0,0,4,Card,3,7,5.86,390.9109464,8,0
10052,Female,32,India,London,30-10-2023,30-01-2023,Google Ads,Tablet,Monthly,1,12,7.533578265,4.4948553,0.68,0.38,498.8438591,38.65436671,0,SALE15,3,0,1,PayPal,3,3,14.2,1348.323782,4,0
10053,Other,38,UK,Berlin,15-08-2023,25-02-2025,Organic,Desktop,Monthly,0,12,6.843229477,4.904494965,0.47,0.46,1147.633117,45.48237542,1,REF10,1,1,5,BKash,4,8,21.08,1136.420351,3,0
10054,Female,29,Bangladesh,London,24-04-2022,09-11-2024,Google Ads,Desktop,Monthly,0,10,9.316989452,4.203163011,0.94,0.07,950.0949621,34.69636519,0,SALE15,2,0,3,SEPA,5,6,19.32,303.3059551,6,0
10055,Female,36,USA,Delhi,29-06-2023,24-08-2024,Organic,Tablet,Annual,0,14,11.56148421,4.829398059,0.1,0.46,867.3297286,24.05046391,0,REF10,2,0,2,UPI,5,0,12.91,789.9890245,6,0
10056,Other,32,Bangladesh,Mumbai,24-04-2022,12-08-2023,Organic,Mobile,Monthly,1,8,9.193044047,2.478070466,0.19,0.44,677.6755068,98.85604956,1,No Coupon,0,0,5,BKash,3,0,22,648.0949474,10,0
10057,Male,32,Germany,Delhi,29-07-2024,16-04-2023,Referral,Desktop,Monthly,0,21,7.899607952,3.965604214,0.86,0.34,132.1332726,115.997807,0,No Coupon,2,0,5,PayPal,4,2,6.88,150.7181345,1,0
10058,Male,36,USA,Mumbai,08-03-2023,23-06-2024,Organic,Tablet,Monthly,1,15,8.181818472,4.172338753,0.13,0.2,748.4254613,49.24390488,0,NEW20,4,0,5,PayPal,4,4,17.67,403.1126255,3,0
10059,Male,35,Bangladesh,London,17-05-2023,30-09-2024,Facebook Ads,Desktop,Monthly,0,18,9.210958295,3.756605758,0.35,0.22,492.730417,68.59092618,0,No Coupon,1,0,2,SEPA,5,8,25.34,196.4923753,0,0
10060,Male,43,India,London,06-01-2023,01-04-2024,Organic,Tablet,Annual,0,26,13.45662708,3.304819013,0.03,0.05,704.2165276,46.2656054,1,No Coupon,5,0,3,PayPal,3,9,14.18,435.6672791,11,0
10061,Male,34,Bangladesh,Dhaka,29-07-2023,02-03-2023,Email,Desktop,Monthly,1,9,10.34403388,3.790501053,0.42,0.38,498.8438591,25.35577184,1,REF10,3,0,3,BKash,5,4,19.64,178.5504899,4,0
10062,Male,32,UK,Mumbai,22-06-2023,25-06-2023,Referral,Tablet,Annual,0,16,5.092743074,4.96944835,0.78,0.22,812.8237605,33.70024077,0,NEW20,0,0,5,SEPA,2,5,8.29,2396.514225,11,1
